1000 V ASMNEW  4515N   01259E 1910 02 12 08:29:00  01 01 ASM   SPIDY2           
1100   01      000 999 ATC1                                                     
1125 CTS   11/01 11    133515 04          06 1                                  
1125 CTS   12/02 12    133515                1                                  
1125 FLOW  34/08 34    13475                 1                                  
1125 MIL   53/01 53    25850  14             1                                  
1125 MIL   54/02 54    25850                 1                                  
1125 NTS   08/01 8     133705 13             1                                  
1125 NTS   09/02 9     133705                1                                  
1125 NTT   05/01 5     12738  11          12 1                                  
1125 NTT   06/02 6     12738                 1                                  
1125 PIL1  24/08 24    11110                 1                                  
1125 PIL2  23/08 23    11120                 1                                  
1125 PIL3  26/08 26    11130                 1                                  
1125 PIL4  25/08 25    11140                 1                                  
1125 PIL5  22/08 22    11150                 1                                  
1125 STS   15/01 15    13394  03          05 1                                  
1125 STS   16/02 16    13394                 1                                  
1125 STT   18/01 18    133305 01 02          1                                  
1125 STT   19/02 19    133305                1                                  
1100   02      000 999 ATC2                                                     
1125 FEAST 33/08 33    13580                 1                                  
1125 FNORT 32/08 32    12628                 1                                  
1125 FWEST 31/08 31    13453                 1                                  
1151  GEO PT   A 21127 AIRWAY  022     SECTOR 020                               
1152  AIRPORT  A 21720 SID     023     RESERV.120                               
1153                   STAR    023     COORDI.126                               
1200   ABESI   4609N35 00902E34         NY Y                                    
1200   ABRUK   4722N59 01500E24         NY Y                                    
1200   ADOSA   4538N40 01101E35         NY Y                                    
1200   AGOMO   4501N01 01248E07         NY Y                                    
1200   AKABI   4743N01 00914E00         NY Y                                    
1200   AKADO   4520N00 01230E00         NY Y                                    
1200   ALBET   4525N36 01130E33         NY Y                                    
1200   ALESE   4616N30 01124E14         NY Y                                    
1200   ALIVO   4531N24 01444E21         NY Y                                    
1200   ALPH1   4437N00 01205E00         NY N                                    
1200   ALPH2   4437N01 01205E01         NN N                                    
1200   ALPH3   4437N02 01205E01         NN N                                    
1200   ALPH4   4437N02 01205E02         NN N                                    
1200   AMDID   4805N50 01223E49         NY Y                                    
1200   AMEMI   4753N41 01010E02         NY Y                                    
1200   AMGAS   4744N09 01115E02         NY Y                                    
1200   AMIKI   4734N26 00902E15         NY Y                                    
1200   AMLON   4420N21 01252E35         NY Y                                    
1200   AMTEL   4313N13 01136E31         NY Y                                    
1200   ANC     4335N11 01328E16         NY Y                                    
1200   ANDEC   4753N12 01120E04         NY Y                                    
1200   ANEDA   4216N15 01339E53         NY Y                                    
1200   ARGAX   4703N00 00917E53         NY Y                                    
1200   ARGEX   4433N09 01140E11         NY Y                                    
1200   ARLES   4555N46 00822E30         NY Y                                    
1200   ARLON   4624N50 01501E47         NY Y                                    
1200   ARPIK   4244N49 01447E32         NY Y                                    
1200   ARTAG   4709N52 00830E50         NY Y                                    
1200   ARTUS   4729N51 01216E13         NY Y                                    
1200   ASKOD   4723N08 01552E17         NY Y                                    
1200   ATRIG   4653N06 01115E55         NY Y                                    
1200   B1      4550N00 01230E00         NY Y                                    
1200   BABAG   4523N13 01307E37         NY Y                                    
1200   BADOP   4527N44 01300E15         NY Y                                    
1200   BADVI   4743N52 01156E43         NY Y                                    
1200   BAGNO   4353N26 01148E08         NY Y                                    
1200   BAKOR   4636N32 01143E43         NY Y                                    
1200   BALAD   4753N48 01548E44         NY Y                                    
1200   BALUK   4405N55 01040E11         NY Y                                    
1200   BARPI   4535N09 01331E22         NY Y                                    
1200   BAXON   4424N59 01327E47         NY Y                                    
1200   BELOV   4432N33 01242E48         NY Y                                    
1200   BEMKI   4733N34 01018E20         NY Y                                    
1200   BENUS   4454N25 01112E13         NY Y                                    
1200   BERAS   4721N34 01146E10         NY Y                                    
1200   BEROK   4409N56 01021E06         NY Y                                    
1200   BETOS   4804N05 01121E00         NY Y                                    
1200   BILDU   4710N13 01039E42         NY Y                                    
1200   BO      4410N09 01515E50         NY Y                                    
1200   BOA     4432N13 01117E26         NY Y                                    
1200   BOL     4237N06 01202E55         NY Y                                    
1200   BORMI   4602N10 01110E00         NY Y                                    
1200   BOTAL   4508N01 00907E22         NY Y                                    
1200   BREGO   4723N23 00820E46         NY Y                                    
1200   BRENO   4658N48 01122E36         NY Y                                    
1200   BUKIN   4340N47 01138E12         NY Y                                    
1200   BUSER   4406N24 01338E56         NY Y                                    
1200   BZO     4627N50 01119E20         NY Y                                    
1200   C1      4624N00 01213E30         NY Y                                    
1200   C2      4624N02 01213E32         NN N                                    
1200   CEV     4412N21 01221E26         NY Y                                    
1200   CHI     4504N16 01216E53         NY Y                                    
1200   CIA     4151N54 01233E39         NY Y                                    
1200   CMP     4207N26 01222E53         NY Y                                    
1200   COD     4513N35 00932E28         NY Y                                    
1200   CRE     4454N01 01424E49         NY Y                                    
1200   D1      4625N00 01257E00         NY Y                                    
1200   D2      4625N02 01257E02         NN N                                    
1200   DEGES   4724N45 00912E07         NY Y                                    
1200   DENAL   4330N32 01152E38         NY Y                                    
1200   DENED   4716N10 01105E13         NY Y                                    
1200   DENUX   4804N13 01552E50         NY Y                                    
1200   DESIP   4538N45 00907E33         NY Y                                    
